epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.805,2.94049,3.01123,4.26383,3.0542,0.00202,0.46163,0.01641,0.00388,1e-05,0.00233,1e-05,0,3.16213,3.03427,3.86726,3.24114,0.000665583,0.000665583,0.000665583
2,365.174,2.87826,2.79082,3.94085,2.97503,0.00266,0.6593,0.01324,0.0036,1e-05,0.00233,0,0,2.74375,2.95372,3.67376,2.91012,0.00131027,0.00131027,0.00131027
3,545.476,2.79708,2.849,3.99652,2.90262,0.00272,0.62326,0.01216,0.00325,0,0,0,0,2.77261,2.94533,3.61373,2.9325,0.00193295,0.00193295,0.00193295
4,730.17,2.6991,2.77796,3.89484,2.78088,0.00325,0.69884,0.01554,0.00451,0,0,0,0,2.64704,3.05216,3.61821,2.87051,0.001901,0.001901,0.001901
5,913.851,2.61349,2.7504,3.83639,2.69528,0.00356,0.66279,0.01929,0.00566,1e-05,0.00116,1e-05,0,2.65563,2.97935,3.60712,2.82083,0.001868,0.001868,0.001868
6,1096.4,2.5708,2.71667,3.77106,2.62637,0.0029,0.70116,0.02071,0.00601,4e-05,0.01047,0.00028,6e-05,2.62045,2.88702,3.51244,2.7901,0.001835,0.001835,0.001835
7,1279.13,2.46943,2.67745,3.56937,2.53558,0.00896,0.69302,0.04064,0.011,0.00024,0.0186,0.00064,9e-05,2.58011,2.76228,3.36907,2.78054,0.001802,0.001802,0.001802
8,1466.79,2.38607,2.6301,3.39079,2.44065,0.11936,0.12209,0.04702,0.01636,0.00082,0.01395,0.00011,2e-05,2.28927,2.77677,3.14831,2.47697,0.001769,0.001769,0.001769
9,1652.27,2.31611,2.62731,3.31402,2.36839,0.14075,0.14535,0.05655,0.01692,0.00604,0.0093,0.00037,8e-05,2.62972,2.6865,3.15178,2.80161,0.001736,0.001736,0.001736
10,1835,2.23431,2.57379,3.2057,2.29246,0.0563,0.18023,0.02786,0.00773,0.01026,0.02558,0.00105,0.00022,2.57206,2.94993,3.92644,2.81657,0.001703,0.001703,0.001703
11,2021.7,2.17281,2.53729,3.11969,2.25883,0.14366,0.2814,0.09404,0.03796,0.00696,0.01628,0.00062,0.00013,2.10633,2.60616,2.78391,2.29052,0.00167,0.00167,0.00167
12,2208.51,2.16725,2.56933,3.06771,2.2275,0.20785,0.28953,0.15975,0.07165,0.02313,0.03488,0.00248,0.0005,1.99902,2.51477,2.45676,2.12381,0.001637,0.001637,0.001637
13,2393.98,2.09466,2.51057,2.97747,2.16652,0.1037,0.46744,0.09024,0.03672,0.01321,0.05465,0.00255,0.00047,2.06695,2.5101,2.63311,2.20759,0.001604,0.001604,0.001604
14,2579.72,2.06597,2.52326,2.93072,2.13022,0.17494,0.3314,0.15595,0.06731,0.02397,0.06395,0.00258,0.00057,2.12316,2.5092,2.53958,2.24745,0.001571,0.001571,0.001571
15,2764.55,2.03416,2.47931,2.89587,2.09813,0.24056,0.31163,0.24205,0.10702,0.03209,0.06047,0.00386,0.00084,1.99534,2.46404,2.42335,2.16261,0.001538,0.001538,0.001538
16,2951.14,1.99222,2.47453,2.88606,2.07604,0.24214,0.35814,0.2806,0.15642,0.0205,0.0593,0.00264,0.00049,1.69607,2.47486,2.30966,1.88576,0.001505,0.001505,0.001505
17,3136.74,1.95415,2.47322,2.78925,2.03434,0.19723,0.38256,0.21369,0.11611,0.03351,0.07209,0.00462,0.00091,1.58782,2.39757,2.22366,1.84027,0.001472,0.001472,0.001472
18,3321.16,1.93137,2.45549,2.77284,2.02546,0.17895,0.50814,0.17133,0.08718,0.02442,0.06744,0.0037,0.00074,1.62109,2.37833,2.25869,1.85729,0.001439,0.001439,0.001439
19,3505.68,1.90018,2.44275,2.75369,1.99625,0.21459,0.49186,0.26585,0.14432,0.02932,0.10349,0.00553,0.0012,1.66843,2.35654,2.17183,1.87453,0.001406,0.001406,0.001406
20,3690.5,1.87035,2.41444,2.66028,1.9794,0.19956,0.46512,0.24443,0.12587,0.03324,0.11977,0.00759,0.00185,1.75967,2.3705,2.25872,1.93076,0.001373,0.001373,0.001373
